organisation_code,measure,value
CS_MEDIAN,RR,0.8
CS_MEDIAN,EES,0.66
CS_MEDIAN,MW_TS,0.8
CS_MEDIAN,OP_TS,0.85
CS_MEDIAN,LM_TS,0.74
CS_MEDIAN,MT_TS,0.84
CS_MEDIAN,LD_TS,0.56
CS_MEDIAN,IF_TS,0.82
CS_MEDIAN,RW_TS,0.75
CS_MEDIAN,PB_TS,0.4
CS_MEDIAN,LC_TS,0.58
CS_MEDIAN,HSE_INDEX,0.26
CS_MEDIAN,PERMA_INDEX,0.74
CS_MEAN,RR,0.66
CS_MEAN,EES,0.64
CS_MEAN,MW_TS,0.77
CS_MEAN,OP_TS,0.83
CS_MEAN,LM_TS,0.72
CS_MEAN,MT_TS,0.83
CS_MEAN,LD_TS,0.57
CS_MEAN,IF_TS,0.79
CS_MEAN,RW_TS,0.74
CS_MEAN,PB_TS,0.37
CS_MEAN,LC_TS,0.53
CS_MEAN,HSE_INDEX,0.28
CS_MEAN,PERMA_INDEX,0.73
AGO,RR,0.85
AGO,EES,0.69
AGO,MW_TS,0.79
AGO,OP_TS,0.88
AGO,LM_TS,0.77
AGO,MT_TS,0.82
AGO,LD_TS,0.54
AGO,IF_TS,0.76
AGO,RW_TS,0.79
AGO,PB_TS,0.27
AGO,LC_TS,0.73
AGO,HSE_INDEX,0.24
AGO,PERMA_INDEX,0.76
CPS,RR,0.7
CPS,EES,0.7
CPS,MW_TS,0.81
CPS,OP_TS,0.91
CPS,LM_TS,0.75
CPS,MT_TS,0.8
CPS,LD_TS,0.66
CPS,IF_TS,0.82
CPS,RW_TS,0.73
CPS,PB_TS,0.44
CPS,LC_TS,0.59
CPS,HSE_INDEX,0.28
CPS,PERMA_INDEX,0.76
HMCPSI,RR,0.9
HMCPSI,EES,0.82
HMCPSI,MW_TS,0.86
HMCPSI,OP_TS,0.96
HMCPSI,LM_TS,0.87
HMCPSI,MT_TS,0.98
HMCPSI,LD_TS,0.75
HMCPSI,IF_TS,0.94
HMCPSI,RW_TS,0.94
HMCPSI,PB_TS,0.59
HMCPSI,LC_TS,0.86
HMCPSI,HSE_INDEX,0.14
HMCPSI,PERMA_INDEX,0.83
SFO,RR,0.75
SFO,EES,0.62
SFO,MW_TS,0.74
SFO,OP_TS,0.85
SFO,LM_TS,0.69
SFO,MT_TS,0.76
SFO,LD_TS,0.49
SFO,IF_TS,0.76
SFO,RW_TS,0.75
SFO,PB_TS,0.27
SFO,LC_TS,0.48
SFO,HSE_INDEX,0.3
SFO,PERMA_INDEX,0.71
ACAS,RR,0.78
ACAS,EES,0.68
ACAS,MW_TS,0.75
ACAS,OP_TS,0.88
ACAS,LM_TS,0.71
ACAS,MT_TS,0.81
ACAS,LD_TS,0.48
ACAS,IF_TS,0.79
ACAS,RW_TS,0.73
ACAS,PB_TS,0.28
ACAS,LC_TS,0.53
ACAS,HSE_INDEX,0.27
ACAS,PERMA_INDEX,0.74
BEIS,RR,0.89
BEIS,EES,0.65
BEIS,MW_TS,0.81
BEIS,OP_TS,0.82
BEIS,LM_TS,0.75
BEIS,MT_TS,0.86
BEIS,LD_TS,0.6
BEIS,IF_TS,0.85
BEIS,RW_TS,0.74
BEIS,PB_TS,0.4
BEIS,LC_TS,0.62
BEIS,HSE_INDEX,0.25
BEIS,PERMA_INDEX,0.74
CH,RR,0.9
CH,EES,0.75
CH,MW_TS,0.84
CH,OP_TS,0.91
CH,LM_TS,0.78
CH,MT_TS,0.89
CH,LD_TS,0.64
CH,IF_TS,0.86
CH,RW_TS,0.83
CH,PB_TS,0.41
CH,LC_TS,0.69
CH,HSE_INDEX,0.22
CH,PERMA_INDEX,0.76
CMA,RR,0.8
CMA,EES,0.67
CMA,MW_TS,0.78
CMA,OP_TS,0.9
CMA,LM_TS,0.7
CMA,MT_TS,0.82
CMA,LD_TS,0.57
CMA,IF_TS,0.77
CMA,RW_TS,0.77
CMA,PB_TS,0.33
CMA,LC_TS,0.65
CMA,HSE_INDEX,0.28
CMA,PERMA_INDEX,0.73
HMLR,RR,0.8
HMLR,EES,0.71
HMLR,MW_TS,0.78
HMLR,OP_TS,0.89
HMLR,LM_TS,0.76
HMLR,MT_TS,0.87
HMLR,LD_TS,0.67
HMLR,IF_TS,0.86
HMLR,RW_TS,0.84
HMLR,PB_TS,0.55
HMLR,LC_TS,0.65
HMLR,HSE_INDEX,0.24
HMLR,PERMA_INDEX,0.74
INSS,RR,0.75
INSS,EES,0.65
INSS,MW_TS,0.81
INSS,OP_TS,0.91
INSS,LM_TS,0.8
INSS,MT_TS,0.87
INSS,LD_TS,0.6
INSS,IF_TS,0.85
INSS,RW_TS,0.76
INSS,PB_TS,0.43
INSS,LC_TS,0.6
INSS,HSE_INDEX,0.25
INSS,PERMA_INDEX,0.74
IPO,RR,0.77
IPO,EES,0.73
IPO,MW_TS,0.83
IPO,OP_TS,0.9
IPO,LM_TS,0.77
IPO,MT_TS,0.89
IPO,LD_TS,0.7
IPO,IF_TS,0.86
IPO,RW_TS,0.82
IPO,PB_TS,0.48
IPO,LC_TS,0.67
IPO,HSE_INDEX,0.23
IPO,PERMA_INDEX,0.74
MET,RR,0.71
MET,EES,0.72
MET,MW_TS,0.84
MET,OP_TS,0.85
MET,LM_TS,0.74
MET,MT_TS,0.87
MET,LD_TS,0.61
MET,IF_TS,0.84
MET,RW_TS,0.76
MET,PB_TS,0.34
MET,LC_TS,0.59
MET,HSE_INDEX,0.25
MET,PERMA_INDEX,0.75
SPACE,RR,0.86
SPACE,EES,0.65
SPACE,MW_TS,0.78
SPACE,OP_TS,0.72
SPACE,LM_TS,0.68
SPACE,MT_TS,0.8
SPACE,LD_TS,0.44
SPACE,IF_TS,0.75
SPACE,RW_TS,0.64
SPACE,PB_TS,0.37
SPACE,LC_TS,0.52
SPACE,HSE_INDEX,0.3
SPACE,PERMA_INDEX,0.73
CCS,RR,0.99
CCS,EES,0.72
CCS,MW_TS,0.86
CCS,OP_TS,0.9
CCS,LM_TS,0.81
CCS,MT_TS,0.89
CCS,LD_TS,0.66
CCS,IF_TS,0.86
CCS,RW_TS,0.8
CCS,PB_TS,0.46
CCS,LC_TS,0.64
CCS,HSE_INDEX,0.22
CCS,PERMA_INDEX,0.78
CO,RR,0.84
CO,EES,0.63
CO,MW_TS,0.8
CO,OP_TS,0.71
CO,LM_TS,0.73
CO,MT_TS,0.86
CO,LD_TS,0.51
CO,IF_TS,0.79
CO,RW_TS,0.72
CO,PB_TS,0.39
CO,LC_TS,0.49
CO,HSE_INDEX,0.27
CO,PERMA_INDEX,0.75
GPA,RR,1.02
GPA,EES,0.62
GPA,MW_TS,0.8
GPA,OP_TS,0.87
GPA,LM_TS,0.74
GPA,MT_TS,0.83
GPA,LD_TS,0.5
GPA,IF_TS,0.77
GPA,RW_TS,0.67
GPA,PB_TS,0.44
GPA,LC_TS,0.57
GPA,HSE_INDEX,0.28
GPA,PERMA_INDEX,0.74
CC,RR,0.89
CC,EES,0.65
CC,MW_TS,0.8
CC,OP_TS,0.87
CC,LM_TS,0.75
CC,MT_TS,0.87
CC,LD_TS,0.49
CC,IF_TS,0.82
CC,RW_TS,0.75
CC,PB_TS,0.34
CC,LC_TS,0.54
CC,HSE_INDEX,0.26
CC,PERMA_INDEX,0.74
DECA,RR,0.51
DECA,EES,0.57
DECA,MW_TS,0.76
DECA,OP_TS,0.73
DECA,LM_TS,0.56
DECA,MT_TS,0.79
DECA,LD_TS,0.38
DECA,IF_TS,0.64
DECA,RW_TS,0.67
DECA,PB_TS,0.25
DECA,LC_TS,0.43
DECA,HSE_INDEX,0.32
DECA,PERMA_INDEX,0.71
DES,RR,0.85
DES,EES,0.6
DES,MW_TS,0.82
DES,OP_TS,0.79
DES,LM_TS,0.74
DES,MT_TS,0.83
DES,LD_TS,0.61
DES,IF_TS,0.83
DES,RW_TS,0.72
DES,PB_TS,0.4
DES,LC_TS,0.53
DES,HSE_INDEX,0.27
DES,PERMA_INDEX,0.73
DSTL,RR,0.75
DSTL,EES,0.65
DSTL,MW_TS,0.82
DSTL,OP_TS,0.81
DSTL,LM_TS,0.68
DSTL,MT_TS,0.81
DSTL,LD_TS,0.61
DSTL,IF_TS,0.81
DSTL,RW_TS,0.7
DSTL,PB_TS,0.31
DSTL,LC_TS,0.53
DSTL,HSE_INDEX,0.28
DSTL,PERMA_INDEX,0.73
MOD,RR,0.73
MOD,EES,0.67
MOD,MW_TS,0.79
MOD,OP_TS,0.83
MOD,LM_TS,0.7
MOD,MT_TS,0.81
MOD,LD_TS,0.58
MOD,IF_TS,0.79
MOD,RW_TS,0.73
MOD,PB_TS,0.42
MOD,LC_TS,0.47
MOD,HSE_INDEX,0.28
MOD,PERMA_INDEX,0.74
SDA,RR,0.92
SDA,EES,0.64
SDA,MW_TS,0.84
SDA,OP_TS,0.84
SDA,LM_TS,0.74
SDA,MT_TS,0.82
SDA,LD_TS,0.57
SDA,IF_TS,0.83
SDA,RW_TS,0.72
SDA,PB_TS,0.4
SDA,LC_TS,0.58
SDA,HSE_INDEX,0.27
SDA,PERMA_INDEX,0.74
UKHO,RR,0.83
UKHO,EES,0.69
UKHO,MW_TS,0.83
UKHO,OP_TS,0.83
UKHO,LM_TS,0.71
UKHO,MT_TS,0.88
UKHO,LD_TS,0.56
UKHO,IF_TS,0.83
UKHO,RW_TS,0.79
UKHO,PB_TS,0.4
UKHO,LC_TS,0.58
UKHO,HSE_INDEX,0.26
UKHO,PERMA_INDEX,0.74
DCMS,RR,0.94
DCMS,EES,0.7
DCMS,MW_TS,0.82
DCMS,OP_TS,0.78
DCMS,LM_TS,0.75
DCMS,MT_TS,0.88
DCMS,LD_TS,0.58
DCMS,IF_TS,0.86
DCMS,RW_TS,0.73
DCMS,PB_TS,0.38
DCMS,LC_TS,0.64
DCMS,HSE_INDEX,0.25
DCMS,PERMA_INDEX,0.74
TNA,RR,0.72
TNA,EES,0.75
TNA,MW_TS,0.85
TNA,OP_TS,0.91
TNA,LM_TS,0.78
TNA,MT_TS,0.86
TNA,LD_TS,0.61
TNA,IF_TS,0.87
TNA,RW_TS,0.81
TNA,PB_TS,0.33
TNA,LC_TS,0.7
TNA,HSE_INDEX,0.22
TNA,PERMA_INDEX,0.74
DFE,RR,0.91
DFE,EES,0.69
DFE,MW_TS,0.82
DFE,OP_TS,0.83
DFE,LM_TS,0.78
DFE,MT_TS,0.89
DFE,LD_TS,0.63
DFE,IF_TS,0.86
DFE,RW_TS,0.76
DFE,PB_TS,0.53
DFE,LC_TS,0.65
DFE,HSE_INDEX,0.24
DFE,PERMA_INDEX,0.74
APHA,RR,0.62
APHA,EES,0.59
APHA,MW_TS,0.74
APHA,OP_TS,0.81
APHA,LM_TS,0.67
APHA,MT_TS,0.77
APHA,LD_TS,0.49
APHA,IF_TS,0.75
