organisation_code,measure,value
APHA,RW_TS,0.68
APHA,PB_TS,0.28
APHA,LC_TS,0.42
APHA,HSE_INDEX,0.31
APHA,PERMA_INDEX,0.71
CEFAS,RR,0.98
CEFAS,EES,0.65
CEFAS,MW_TS,0.82
CEFAS,OP_TS,0.78
CEFAS,LM_TS,0.72
CEFAS,MT_TS,0.83
CEFAS,LD_TS,0.59
CEFAS,IF_TS,0.77
CEFAS,RW_TS,0.75
CEFAS,PB_TS,0.3
CEFAS,LC_TS,0.53
CEFAS,HSE_INDEX,0.27
CEFAS,PERMA_INDEX,0.74
DEFRA,RR,0.66
DEFRA,EES,0.65
DEFRA,MW_TS,0.79
DEFRA,OP_TS,0.8
DEFRA,LM_TS,0.73
DEFRA,MT_TS,0.85
DEFRA,LD_TS,0.54
DEFRA,IF_TS,0.84
DEFRA,RW_TS,0.69
DEFRA,PB_TS,0.42
DEFRA,LC_TS,0.57
DEFRA,HSE_INDEX,0.27
DEFRA,PERMA_INDEX,0.73
RPA,RR,0.65
RPA,EES,0.6
RPA,MW_TS,0.71
RPA,OP_TS,0.85
RPA,LM_TS,0.75
RPA,MT_TS,0.81
RPA,LD_TS,0.47
RPA,IF_TS,0.8
RPA,RW_TS,0.76
RPA,PB_TS,0.4
RPA,LC_TS,0.55
RPA,HSE_INDEX,0.27
RPA,PERMA_INDEX,0.72
VMD,RR,0.71
VMD,EES,0.7
VMD,MW_TS,0.87
VMD,OP_TS,0.94
VMD,LM_TS,0.74
VMD,MT_TS,0.88
VMD,LD_TS,0.61
VMD,IF_TS,0.84
VMD,RW_TS,0.82
VMD,PB_TS,0.36
VMD,LC_TS,0.73
VMD,HSE_INDEX,0.24
VMD,PERMA_INDEX,0.75
ESTYN,RR,0.86
ESTYN,EES,0.77
ESTYN,MW_TS,0.85
ESTYN,OP_TS,0.89
ESTYN,LM_TS,0.83
ESTYN,MT_TS,0.84
ESTYN,LD_TS,0.59
ESTYN,IF_TS,0.84
ESTYN,RW_TS,0.87
ESTYN,PB_TS,0.6
ESTYN,LC_TS,0.75
ESTYN,HSE_INDEX,0.21
ESTYN,PERMA_INDEX,0.78
FSA,RR,0.87
FSA,EES,0.7
FSA,MW_TS,0.82
FSA,OP_TS,0.87
FSA,LM_TS,0.76
FSA,MT_TS,0.84
FSA,LD_TS,0.62
FSA,IF_TS,0.82
FSA,RW_TS,0.81
FSA,PB_TS,0.46
FSA,LC_TS,0.64
FSA,HSE_INDEX,0.26
FSA,PERMA_INDEX,0.75
WPEA,RR,0.97
WPEA,EES,0.76
WPEA,MW_TS,0.83
WPEA,OP_TS,0.91
WPEA,LM_TS,0.75
WPEA,MT_TS,0.89
WPEA,LD_TS,0.51
WPEA,IF_TS,0.84
WPEA,RW_TS,0.82
WPEA,PB_TS,0.28
WPEA,LC_TS,0.68
WPEA,HSE_INDEX,0.23
WPEA,PERMA_INDEX,0.77
FCDO,RR,0.74
FCDO,EES,0.67
FCDO,MW_TS,0.8
FCDO,OP_TS,0.74
FCDO,LM_TS,0.74
FCDO,MT_TS,0.84
FCDO,LD_TS,0.57
FCDO,IF_TS,0.78
FCDO,RW_TS,0.77
FCDO,PB_TS,0.33
FCDO,LC_TS,0.54
FCDO,HSE_INDEX,0.27
FCDO,PERMA_INDEX,0.75
FCDOS,RR,0.82
FCDOS,EES,0.65
FCDOS,MW_TS,0.8
FCDOS,OP_TS,0.76
FCDOS,LM_TS,0.73
FCDOS,MT_TS,0.81
FCDOS,LD_TS,0.56
FCDOS,IF_TS,0.8
FCDOS,RW_TS,0.72
FCDOS,PB_TS,0.37
FCDOS,LC_TS,0.51
FCDOS,HSE_INDEX,0.28
FCDOS,PERMA_INDEX,0.75
GAD,RR,0.86
GAD,EES,0.67
GAD,MW_TS,0.8
GAD,OP_TS,0.83
GAD,LM_TS,0.69
GAD,MT_TS,0.81
GAD,LD_TS,0.58
GAD,IF_TS,0.82
GAD,RW_TS,0.75
GAD,PB_TS,0.4
GAD,LC_TS,0.64
GAD,HSE_INDEX,0.26
GAD,PERMA_INDEX,0.72
GLD,RR,0.78
GLD,EES,0.65
GLD,MW_TS,0.82
GLD,OP_TS,0.78
GLD,LM_TS,0.75
GLD,MT_TS,0.83
GLD,LD_TS,0.64
GLD,IF_TS,0.83
GLD,RW_TS,0.74
GLD,PB_TS,0.14
GLD,LC_TS,0.59
GLD,HSE_INDEX,0.26
GLD,PERMA_INDEX,0.74
DHSC,RR,0.86
DHSC,EES,0.69
DHSC,MW_TS,0.83
DHSC,OP_TS,0.82
DHSC,LM_TS,0.76
DHSC,MT_TS,0.89
DHSC,LD_TS,0.56
DHSC,IF_TS,0.85
DHSC,RW_TS,0.72
DHSC,PB_TS,0.47
DHSC,LC_TS,0.62
DHSC,HSE_INDEX,0.25
DHSC,PERMA_INDEX,0.75
MHRA,RR,0.77
MHRA,EES,0.67
MHRA,MW_TS,0.82
MHRA,OP_TS,0.83
MHRA,LM_TS,0.74
MHRA,MT_TS,0.84
MHRA,LD_TS,0.51
MHRA,IF_TS,0.82
MHRA,RW_TS,0.74
MHRA,PB_TS,0.36
MHRA,LC_TS,0.54
MHRA,HSE_INDEX,0.27
MHRA,PERMA_INDEX,0.75
NHSTT,RR,0.5
NHSTT,EES,0.62
NHSTT,MW_TS,0.74
NHSTT,OP_TS,0.78
NHSTT,LM_TS,0.6
NHSTT,MT_TS,0.85
NHSTT,LD_TS,0.32
NHSTT,IF_TS,0.75
NHSTT,RW_TS,0.52
NHSTT,PB_TS,0.44
NHSTT,LC_TS,0.53
NHSTT,HSE_INDEX,0.32
NHSTT,PERMA_INDEX,0.75
PHE,RR,0.69
PHE,EES,0.6
PHE,MW_TS,0.78
PHE,OP_TS,0.75
PHE,LM_TS,0.7
PHE,MT_TS,0.84
PHE,LD_TS,0.52
PHE,IF_TS,0.8
PHE,RW_TS,0.72
PHE,PB_TS,0.37
PHE,LC_TS,0.42
PHE,HSE_INDEX,0.29
PHE,PERMA_INDEX,0.73
HMICFR,RR,0.88
HMICFR,EES,0.71
HMICFR,MW_TS,0.83
HMICFR,OP_TS,0.88
HMICFR,LM_TS,0.76
HMICFR,MT_TS,0.87
HMICFR,LD_TS,0.52
HMICFR,IF_TS,0.83
HMICFR,RW_TS,0.78
HMICFR,PB_TS,0.54
HMICFR,LC_TS,0.59
HMICFR,HSE_INDEX,0.24
HMICFR,PERMA_INDEX,0.77
HMRC,RR,0.6
HMRC,EES,0.57
HMRC,MW_TS,0.72
HMRC,OP_TS,0.84
HMRC,LM_TS,0.73
HMRC,MT_TS,0.84
HMRC,LD_TS,0.56
HMRC,IF_TS,0.78
HMRC,RW_TS,0.74
HMRC,PB_TS,0.23
HMRC,LC_TS,0.49
HMRC,HSE_INDEX,0.29
HMRC,PERMA_INDEX,0.72
VOA,RR,0.73
VOA,EES,0.62
VOA,MW_TS,0.77
VOA,OP_TS,0.86
VOA,LM_TS,0.76
VOA,MT_TS,0.82
VOA,LD_TS,0.62
VOA,IF_TS,0.83
VOA,RW_TS,0.77
VOA,PB_TS,0.49
VOA,LC_TS,0.51
VOA,HSE_INDEX,0.25
VOA,PERMA_INDEX,0.73
DMO,RR,0.84
DMO,EES,0.74
DMO,MW_TS,0.82
DMO,OP_TS,0.94
DMO,LM_TS,0.72
DMO,MT_TS,0.8
DMO,LD_TS,0.52
DMO,IF_TS,0.85
DMO,RW_TS,0.83
DMO,PB_TS,0.29
DMO,LC_TS,0.69
DMO,HSE_INDEX,0.22
DMO,PERMA_INDEX,0.77
GIAA,RR,0.89
GIAA,EES,0.6
GIAA,MW_TS,0.8
GIAA,OP_TS,0.89
GIAA,LM_TS,0.75
GIAA,MT_TS,0.82
GIAA,LD_TS,0.54
GIAA,IF_TS,0.82
GIAA,RW_TS,0.76
GIAA,PB_TS,0.4
GIAA,LC_TS,0.63
GIAA,HSE_INDEX,0.25
GIAA,PERMA_INDEX,0.74
HMT,RR,1
HMT,EES,0.76
HMT,MW_TS,0.84
HMT,OP_TS,0.87
HMT,LM_TS,0.77
HMT,MT_TS,0.87
HMT,LD_TS,0.56
HMT,IF_TS,0.84
HMT,RW_TS,0.72
HMT,PB_TS,0.33
HMT,LC_TS,0.7
HMT,HSE_INDEX,0.24
HMT,PERMA_INDEX,0.75
NIC,RR,0.95
NIC,EES,0.66
NIC,MW_TS,0.82
NIC,OP_TS,0.88
NIC,LM_TS,0.78
NIC,MT_TS,0.89
NIC,LD_TS,0.42
NIC,IF_TS,0.83
NIC,RW_TS,0.79
NIC,PB_TS,0.54
NIC,LC_TS,0.73
NIC,HSE_INDEX,0.22
NIC,PERMA_INDEX,0.75
HO_GROUP,RR,0.6
HO_GROUP,EES,0.58
HO_GROUP,MW_TS,0.72
HO_GROUP,OP_TS,0.82
HO_GROUP,LM_TS,0.69
HO_GROUP,MT_TS,0.79
HO_GROUP,LD_TS,0.53
HO_GROUP,IF_TS,0.74
HO_GROUP,RW_TS,0.7
HO_GROUP,PB_TS,0.32
HO_GROUP,LC_TS,0.48
HO_GROUP,HSE_INDEX,0.3
HO_GROUP,PERMA_INDEX,0.72
BF,RR,0.5
BF,EES,0.56
BF,MW_TS,0.67
BF,OP_TS,0.8
BF,LM_TS,0.65
BF,MT_TS,0.73
BF,LD_TS,0.47
BF,IF_TS,0.68
BF,RW_TS,0.63
BF,PB_TS,0.29
BF,LC_TS,0.39
BF,HSE_INDEX,0.34
BF,PERMA_INDEX,0.71
HMPO,RR,0.57
HMPO,EES,0.58
HMPO,MW_TS,0.69
HMPO,OP_TS,0.8
HMPO,LM_TS,0.67
HMPO,MT_TS,0.81
HMPO,LD_TS,0.5
HMPO,IF_TS,0.7
HMPO,RW_TS,0.72
HMPO,PB_TS,0.25
HMPO,LC_TS,0.44
HMPO,HSE_INDEX,0.32
HMPO,PERMA_INDEX,0.71
IE,RR,0.59
IE,EES,0.57
IE,MW_TS,0.73
IE,OP_TS,0.83
IE,LM_TS,0.68
IE,MT_TS,0.78
IE,LD_TS,0.53
IE,IF_TS,0.73
IE,RW_TS,0.71
IE,PB_TS,0.29
IE,LC_TS,0.48
IE,HSE_INDEX,0.3
IE,PERMA_INDEX,0.72
PE,RR,0.78
PE,EES,0.61
PE,MW_TS,0.81
PE,OP_TS,0.83
PE,LM_TS,0.74
PE,MT_TS,0.85
PE,LD_TS,0.6
PE,IF_TS,0.81
PE,RW_TS,0.73
PE,PB_TS,0.42
PE,LC_TS,0.57
PE,HSE_INDEX,0.26
PE,PERMA_INDEX,0.74
UKVI,RR,0.57
UKVI,EES,0.59
UKVI,MW_TS,0.69
UKVI,OP_TS,0.82
UKVI,LM_TS,0.68
UKVI,MT_TS,0.79
UKVI,LD_TS,0.51
UKVI,IF_TS,0.73
UKVI,RW_TS,0.72
UKVI,PB_TS,0.31
UKVI,LC_TS,0.49
UKVI,HSE_INDEX,0.31
UKVI,PERMA_INDEX,0.71
MHCLG,RR,0.94
MHCLG,EES,0.67
MHCLG,MW_TS,0.81
MHCLG,OP_TS,0.83
MHCLG,LM_TS,0.78
MHCLG,MT_TS,0.89
MHCLG,LD_TS,0.59
MHCLG,IF_TS,0.85
MHCLG,RW_TS,0.76
MHCLG,PB_TS,0.41
MHCLG,LC_TS,0.64
MHCLG,HSE_INDEX,0.24
MHCLG,PERMA_INDEX,0.75
PINS,RR,0.57
PINS,EES,0.65
PINS,MW_TS,0.83
PINS,OP_TS,0.87
PINS,LM_TS,0.76
PINS,MT_TS,0.78
PINS,LD_TS,0.62
PINS,IF_TS,0.81
PINS,RW_TS,0.75
PINS,PB_TS,0.38
PINS,LC_TS,0.54
PINS,HSE_INDEX,0.25
PINS,PERMA_INDEX,0.74
IFATE,RR,0.98
IFATE,EES,0.69
IFATE,MW_TS,0.85
IFATE,OP_TS,0.86
IFATE,LM_TS,0.76
IFATE,MT_TS,0.88
IFATE,LD_TS,0.58
IFATE,IF_TS,0.84
IFATE,RW_TS,0.77
IFATE,PB_TS,0.5
IFATE,LC_TS,0.65
IFATE,HSE_INDEX,0.24
IFATE,PERMA_INDEX,0.77
DIT,RR,0.91
DIT,EES,0.66
DIT,MW_TS,0.8
DIT,OP_TS,0.86
DIT,LM_TS,0.75
DIT,MT_TS,0.84
DIT,LD_TS,0.61
DIT,IF_TS,0.82
DIT,RW_TS,0.73
DIT,PB_TS,0.3
DIT,LC_TS,0.58
DIT,HSE_INDEX,0.27
DIT,PERMA_INDEX,0.74
MOJ_GROUP,RR,0.45
MOJ_GROUP,EES,0.61
MOJ_GROUP,MW_TS,0.74
MOJ_GROUP,OP_TS,0.81
MOJ_GROUP,LM_TS,0.67
MOJ_GROUP,MT_TS,0.79
MOJ_GROUP,LD_TS,0.49
MOJ_GROUP,IF_TS,0.74
MOJ_GROUP,RW_TS,0.71
MOJ_GROUP,PB_TS,0.27
MOJ_GROUP,LC_TS,0.49
MOJ_GROUP,HSE_INDEX,0.3
MOJ_GROUP,PERMA_INDEX,0.73
ALOB,RR,0.79
ALOB,EES,0.67
ALOB,MW_TS,0.8
ALOB,OP_TS,0.88
ALOB,LM_TS,0.72
ALOB,MT_TS,0.81
ALOB,LD_TS,0.48
ALOB,IF_TS,0.79
ALOB,RW_TS,0.75
ALOB,PB_TS,0.33
ALOB,LC_TS,0.62
ALOB,HSE_INDEX,0.27
ALOB,PERMA_INDEX,0.74
CICA,RR,0.84
CICA,EES,0.67
CICA,MW_TS,0.77
CICA,OP_TS,0.91
CICA,LM_TS,0.74
CICA,MT_TS,0.83
CICA,LD_TS,0.56
CICA,IF_TS,0.83
CICA,RW_TS,0.82
CICA,PB_TS,0.13
CICA,LC_TS,0.59
CICA,HSE_INDEX,0.26
CICA,PERMA_INDEX,0.75
HMCTS,RR,0.55
HMCTS,EES,0.56
HMCTS,MW_TS,0.7
HMCTS,OP_TS,0.77
HMCTS,LM_TS,0.65
HMCTS,MT_TS,0.78
HMCTS,LD_TS,0.46
HMCTS,IF_TS,0.73
HMCTS,RW_TS,0.7
HMCTS,PB_TS,0.17
HMCTS,LC_TS,0.45
HMCTS,HSE_INDEX,0.32
HMCTS,PERMA_INDEX,0.71
HMPPHQ,RR,0.58
HMPPHQ,EES,0.68
HMPPHQ,MW_TS,0.83
HMPPHQ,OP_TS,0.88
HMPPHQ,LM_TS,0.75
HMPPHQ,MT_TS,0.86
HMPPHQ,LD_TS,0.58
HMPPHQ,IF_TS,0.81
HMPPHQ,RW_TS,0.76
HMPPHQ,PB_TS,0.49
HMPPHQ,LC_TS,0.58
HMPPHQ,HSE_INDEX,0.25
HMPPHQ,PERMA_INDEX,0.77
HMPS,RR,0.23
HMPS,EES,0.59
HMPS,MW_TS,0.69
HMPS,OP_TS,0.74
HMPS,LM_TS,0.58
HMPS,MT_TS,0.72
HMPS,LD_TS,0.42
HMPS,IF_TS,0.66
HMPS,RW_TS,0.67
HMPS,PB_TS,0.28
HMPS,LC_TS,0.42
HMPS,HSE_INDEX,0.35
HMPS,PERMA_INDEX,0.7
LAA,RR,0.88
LAA,EES,0.72
LAA,MW_TS,0.84
LAA,OP_TS,0.91
LAA,LM_TS,0.82
LAA,MT_TS,0.9
LAA,LD_TS,0.67
LAA,IF_TS,0.87
LAA,RW_TS,0.87
LAA,PB_TS,0.29
LAA,LC_TS,0.71
LAA,HSE_INDEX,0.2
LAA,PERMA_INDEX,0.76
MOJHQ,RR,0.82
MOJHQ,EES,0.66
MOJHQ,MW_TS,0.82
MOJHQ,OP_TS,0.81
MOJHQ,LM_TS,0.75
MOJHQ,MT_TS,0.86
MOJHQ,LD_TS,0.59
MOJHQ,IF_TS,0.84
MOJHQ,RW_TS,0.75
MOJHQ,PB_TS,0.36
MOJHQ,LC_TS,0.59
MOJHQ,HSE_INDEX,0.25
MOJHQ,PERMA_INDEX,0.75
NPS,RR,0.68
NPS,EES,0.63
NPS,MW_TS,0.76
NPS,OP_TS,0.86
NPS,LM_TS,0.68
NPS,MT_TS,0.78
NPS,LD_TS,0.51
NPS,IF_TS,0.74
NPS,RW_TS,0.68
NPS,PB_TS,0.24
NPS,LC_TS,0.49
NPS,HSE_INDEX,0.31
NPS,PERMA_INDEX,0.74
OPG,RR,0.72
OPG,EES,0.64
OPG,MW_TS,0.71
OPG,OP_TS,0.87
OPG,LM_TS,0.72
OPG,MT_TS,0.78
OPG,LD_TS,0.53
OPG,IF_TS,0.77
OPG,RW_TS,0.77
OPG,PB_TS,0.2
OPG,LC_TS,0.55
OPG,HSE_INDEX,0.28
OPG,PERMA_INDEX,0.71
NCA,RR,0.64
NCA,EES,0.65
NCA,MW_TS,0.78
NCA,OP_TS,0.85
NCA,LM_TS,0.7
NCA,MT_TS,0.81
NCA,LD_TS,0.47
NCA,IF_TS,0.78
NCA,RW_TS,0.67
NCA,PB_TS,0.39
NCA,LC_TS,0.48
NCA,HSE_INDEX,0.29
NCA,PERMA_INDEX,0.75
NSANDI,RR,0.96
NSANDI,EES,0.66
NSANDI,MW_TS,0.82
NSANDI,OP_TS,0.87
NSANDI,LM_TS,0.75
